                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.3935  17.2660  0.68918E+03  0.75562E+03  0.13120E+00  0.73809E+03  0.75562E+03  0.13120E+00  0.73809E+03
    5.0140   2.1071  18.2770  0.54786E+03  0.61992E+03  0.27968E+00  0.60249E+03  0.61992E+03  0.27968E+00  0.60249E+03
    5.0140   1.9095  19.1660  0.45729E+03  0.52972E+03  0.41702E+00  0.51233E+03  0.52972E+03  0.41702E+00  0.51233E+03
    5.0140   1.7266  20.1430  0.38172E+03  0.45313E+03  0.57349E+00  0.43562E+03  0.45313E+03  0.57349E+00  0.43562E+03
    5.0140   1.5516  21.2490  0.31701E+03  0.38661E+03  0.75310E+00  0.36883E+03  0.38661E+03  0.75310E+00  0.36883E+03
    5.0140   1.3719  22.6100  0.25801E+03  0.32516E+03  0.97276E+00  0.30694E+03  0.32516E+03  0.97276E+00  0.30694E+03
    5.0140   1.0163  26.5220  0.15759E+03  0.21588E+03  0.14155E+01  0.19704E+03  0.21588E+03  0.14155E+01  0.19704E+03
    5.0140   2.4496  17.7700  0.60367E+03  0.65161E+03  0.53122E-01  0.63792E+03  0.65161E+03  0.53122E-01  0.63792E+03
    5.0140   2.1123  19.1120  0.45268E+03  0.50583E+03  0.13079E+00  0.49274E+03  0.50583E+03  0.13079E+00  0.49274E+03
    5.0140   1.9124  20.0870  0.37635E+03  0.43021E+03  0.20026E+00  0.41722E+03  0.43021E+03  0.20026E+00  0.41722E+03
    5.0140   1.7276  21.1450  0.31372E+03  0.36721E+03  0.28240E+00  0.35416E+03  0.36721E+03  0.28240E+00  0.35416E+03
    5.0140   1.5528  22.3150  0.26132E+03  0.31395E+03  0.38008E+00  0.30068E+03  0.31395E+03  0.38008E+00  0.30068E+03
    5.0140   1.3726  23.7540  0.21336E+03  0.26463E+03  0.50417E+00  0.25097E+03  0.26463E+03  0.50417E+00  0.25097E+03
    5.0140   1.0193  27.8520  0.13146E+03  0.17701E+03  0.76004E+00  0.16283E+03  0.17701E+03  0.76004E+00  0.16283E+03
    5.0140   2.4373  18.6050  0.48742E+03  0.52102E+03  0.22305E-01  0.51079E+03  0.52102E+03  0.22305E-01  0.51079E+03
    5.0140   2.1128  19.9860  0.37110E+03  0.40981E+03  0.57877E-01  0.39999E+03  0.40981E+03  0.57877E-01  0.39999E+03
    5.0140   1.9126  21.0170  0.30960E+03  0.34956E+03  0.93039E-01  0.33979E+03  0.34956E+03  0.93039E-01  0.33979E+03
    5.0140   1.7284  22.1150  0.25983E+03  0.30022E+03  0.13737E+00  0.29033E+03  0.30022E+03  0.13737E+00  0.29033E+03
    5.0140   1.5531  23.3512  0.21700E+03  0.25717E+03  0.19043E+00  0.24708E+03  0.25717E+03  0.19043E+00  0.24708E+03
    5.0140   1.3733  24.8510  0.17817E+03  0.21779E+03  0.26093E+00  0.20735E+03  0.21779E+03  0.26093E+00  0.20735E+03
    5.0140   1.0177  29.1850  0.11011E+03  0.14599E+03  0.41198E+00  0.13504E+03  0.14599E+03  0.41198E+00  0.13504E+03
    5.0140   2.4067  19.6126  0.37859E+03  0.40115E+03  0.84706E-02  0.39374E+03  0.40115E+03  0.84706E-02  0.39374E+03
    5.0140   2.1138  20.9350  0.29898E+03  0.32608E+03  0.22310E-01  0.31887E+03  0.32608E+03  0.22310E-01  0.31887E+03
    5.0140   1.9134  22.0200  0.25093E+03  0.27967E+03  0.38342E-01  0.27246E+03  0.27967E+03  0.38342E-01  0.27246E+03
    5.0140   1.7287  23.1770  0.21162E+03  0.24125E+03  0.59712E-01  0.23391E+03  0.24125E+03  0.59712E-01  0.23391E+03
    5.0140   1.5537  24.4690  0.17780E+03  0.20774E+03  0.86506E-01  0.20019E+03  0.20774E+03  0.86506E-01  0.20019E+03
    5.0140   1.3732  26.0600  0.14637E+03  0.17621E+03  0.12244E+00  0.16837E+03  0.17621E+03  0.12244E+00  0.16837E+03
    5.0140   1.0256  30.4680  0.92493E+02  0.12034E+03  0.20396E+00  0.11198E+03  0.12034E+03  0.20396E+00  0.11198E+03
    5.0140   2.3727  20.7090  0.28885E+03  0.30343E+03  0.29610E-02  0.29810E+03  0.30343E+03  0.29610E-02  0.29810E+03
    5.0140   2.1137  21.9680  0.23603E+03  0.25419E+03  0.73787E-02  0.24900E+03  0.25419E+03  0.73787E-02  0.24900E+03
    5.0140   1.9138  23.1020  0.19995E+03  0.21992E+03  0.13743E-01  0.21469E+03  0.21992E+03  0.13743E-01  0.21469E+03
    5.0140   1.7287  24.3266  0.16952E+03  0.19059E+03  0.22759E-01  0.18523E+03  0.19059E+03  0.22759E-01  0.18523E+03
    5.0140   1.5533  25.6900  0.14319E+03  0.16488E+03  0.34776E-01  0.15934E+03  0.16488E+03  0.34776E-01  0.15934E+03
    5.0140   1.3734  27.3510  0.11877E+03  0.14083E+03  0.51784E-01  0.13501E+03  0.14083E+03  0.51784E-01  0.13501E+03
    5.0140   1.0253  32.0253  0.75400E+02  0.96402E+02  0.90735E-01  0.90139E+02  0.96402E+02  0.90735E-01  0.90139E+02
    5.0140   2.3348  21.8330  0.22007E+03  0.22941E+03  0.11555E-02  0.22553E+03  0.22941E+03  0.11555E-02  0.22553E+03
    5.0140   2.1135  22.9940  0.18613E+03  0.19808E+03  0.23625E-02  0.19431E+03  0.19808E+03  0.23625E-02  0.19431E+03
    5.0140   1.9137  24.1820  0.15913E+03  0.17285E+03  0.46260E-02  0.16903E+03  0.17285E+03  0.46260E-02  0.16903E+03
    5.0140   1.7285  25.4640  0.13600E+03  0.15092E+03  0.81794E-02  0.14698E+03  0.15092E+03  0.81794E-02  0.14698E+03
    5.0140   1.5533  26.8890  0.11571E+03  0.13142E+03  0.13264E-01  0.12731E+03  0.13142E+03  0.13264E-01  0.12731E+03
    5.0140   1.3737  28.6319  0.96547E+02  0.11281E+03  0.20756E-01  0.10847E+03  0.11281E+03  0.20756E-01  0.10847E+03
    5.0140   1.0200  33.6230  0.61490E+02  0.77465E+02  0.39729E-01  0.72686E+02  0.77465E+02  0.39729E-01  0.72686E+02
    5.0140   2.2824  23.3560  0.15336E+03  0.15840E+03  0.49488E-03  0.15582E+03  0.15840E+03  0.49488E-03  0.15582E+03
    5.0140   2.1094  25.0320  0.11501E+03  0.11981E+03  0.44225E-03  0.11776E+03  0.11981E+03  0.44225E-03  0.11776E+03
    5.0140   1.9137  26.3880  0.98747E+02  0.10477E+03  0.60144E-03  0.10273E+03  0.10477E+03  0.60144E-03  0.10273E+03
    5.0140   1.7290  27.7430  0.86728E+02  0.93920E+02  0.99362E-03  0.91768E+02  0.93920E+02  0.99362E-03  0.91768E+02
    5.0140   1.5538  29.3070  0.74842E+02  0.82829E+02  0.16417E-02  0.80560E+02  0.82829E+02  0.16417E-02  0.80560E+02
    5.0140   1.3736  31.2970  0.62531E+02  0.71031E+02  0.26128E-02  0.68631E+02  0.71031E+02  0.26128E-02  0.68631E+02
    5.0140   1.0318  36.4750  0.41827E+02  0.50926E+02  0.59580E-02  0.48156E+02  0.50926E+02  0.59580E-02  0.48156E+02
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   2.0525  27.7310  0.62672E+02  0.64169E+02  0.19138E-03  0.63124E+02  0.64169E+02  0.19138E-03  0.63124E+02
    5.0140   1.9000  29.6520  0.47677E+02  0.49176E+02  0.16724E-03  0.48320E+02  0.49176E+02  0.16724E-03  0.48320E+02
    5.0140   1.7276  31.5870  0.39048E+02  0.40824E+02  0.17241E-03  0.40025E+02  0.40824E+02  0.17241E-03  0.40025E+02
    5.0140   1.5535  33.3319  0.35030E+02  0.37357E+02  0.20676E-03  0.36491E+02  0.37357E+02  0.20676E-03  0.36491E+02
    5.0140   1.3743  35.4810  0.30715E+02  0.33556E+02  0.24893E-03  0.32595E+02  0.33556E+02  0.24893E-03  0.32595E+02
    5.0140   1.0319  41.5100  0.21178E+02  0.24645E+02  0.36364E-03  0.23484E+02  0.24645E+02  0.36364E-03  0.23484E+02
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   1.6988  34.4940  0.21504E+02  0.22073E+02  0.58259E-04  0.21651E+02  0.22073E+02  0.58259E-04  0.21651E+02
    5.0140   1.5481  36.8890  0.17162E+02  0.17814E+02  0.55640E-04  0.17431E+02  0.17814E+02  0.55640E-04  0.17431E+02
    5.0140   1.3706  40.1151  0.13219E+02  0.13945E+02  0.54296E-04  0.13587E+02  0.13945E+02  0.54296E-04  0.13587E+02
    5.0140   1.1024  45.0140  0.10792E+02  0.11894E+02  0.85308E-04  0.11447E+02  0.11894E+02  0.85308E-04  0.11447E+02
