EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS Iron                                                               
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 26, 56);   avgA =  56.000; amuM= 55.930; avgM= 52.099
 targ= ordina; ttarg(rl)=0.01561; twall=0.00000; tbeam=0.00000; tspec=0.00761
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   5.014 17.266  1.08    3.14    6.45    2.34    0.00    8.80  0.765
   2.394  0.220  4.72    0.00 -100.00    0.00    0.00 -100.00 3.320E+03

   5.014 18.277  1.07    3.95    9.35    2.90    0.01   12.26  0.736
   2.107  0.195  5.27    0.00 -100.00    0.00    0.00 -100.00 2.636E+03

   5.014 19.166  1.06    4.71   11.42    3.44    0.01   14.87  0.714
   1.910  0.182  5.64    0.00 -100.00    0.00    0.00 -100.00 2.197E+03

   5.014 20.143  1.06    5.64   13.49    4.13    0.02   17.64  0.697
   1.727  0.172  5.99    0.00 -100.00    0.00    0.00 -100.00 1.832E+03

   5.014 21.249  1.06    6.80   15.69    4.97    0.04   20.70  0.674
   1.552  0.163  6.32    0.00 -100.00    0.00    0.00 -100.00 1.520E+03

   5.014 22.610  1.06    8.42   18.29    6.18    0.07   24.54  0.654
   1.372  0.155  6.66    0.00 -100.00    0.00    0.00 -100.00 1.235E+03

   5.014 26.522  1.07   13.54   24.31   10.17    0.23   34.71  0.612
   1.016  0.143  7.31    0.00 -100.00    0.00    0.00 -100.00 7.520E+02

   5.014 17.770  1.17    2.82    4.96    2.10    0.00    7.07  0.774
   2.450  0.244  4.52    0.00 -100.00    0.00    0.00 -100.00 2.902E+03

   5.014 19.112  1.17    3.62    8.17    2.66    0.00   10.84  0.745
   2.112  0.214  5.16    0.00 -100.00    0.00    0.00 -100.00 2.172E+03

   5.014 20.087  1.17    4.31   10.18    3.16    0.01   13.35  0.725
   1.912  0.200  5.53    0.00 -100.00    0.00    0.00 -100.00 1.803E+03

   5.014 21.145  1.17    5.17   12.19    3.78    0.01   15.99  0.705
   1.728  0.189  5.88    0.00 -100.00    0.00    0.00 -100.00 1.501E+03

   5.014 22.315  1.17    6.25   14.33    4.58    0.02   18.94  0.685
   1.553  0.180  6.21    0.00 -100.00    0.00    0.00 -100.00 1.249E+03

   5.014 23.754  1.17    7.76   16.86    5.72    0.03   22.61  0.664
   1.373  0.171  6.55    0.00 -100.00    0.00    0.00 -100.00 1.019E+03

   5.014 27.852  1.18   12.52   23.00    9.45    0.10   32.55  0.622
   1.019  0.158  7.19    0.00 -100.00    0.00    0.00 -100.00 6.258E+02

   5.014 18.605  1.28    2.63    4.02    1.96    0.00    5.97  0.778
   2.437  0.264  4.44    0.00 -100.00    0.00    0.00 -100.00 2.336E+03

   5.014 19.986  1.28    3.33    7.04    2.46    0.00    9.49  0.753
   2.113  0.234  5.05    0.00 -100.00    0.00    0.00 -100.00 1.776E+03

   5.014 21.017  1.28    3.97    9.00    2.92    0.01   11.92  0.735
   1.913  0.219  5.42    0.00 -100.00    0.00    0.00 -100.00 1.480E+03

   5.014 22.115  1.28    4.77   10.97    3.50    0.01   14.48  0.715
   1.728  0.207  5.77    0.00 -100.00    0.00    0.00 -100.00 1.240E+03

   5.014 23.351  1.28    5.78   13.06    4.25    0.01   17.32  0.696
   1.553  0.196  6.10    0.00 -100.00    0.00    0.00 -100.00 1.035E+03

   5.014 24.851  1.28    7.19   15.53    5.32    0.02   20.87  0.675
   1.373  0.187  6.44    0.00 -100.00    0.00    0.00 -100.00 8.486E+02

   5.014 29.185  1.30   11.73   21.65    8.89    0.05   30.59  0.631
   1.018  0.173  7.08    0.00 -100.00    0.00    0.00 -100.00 5.228E+02

   5.014 19.613  1.40    2.48    3.13    1.83    0.00    4.97  0.780
   2.407  0.286  4.37    0.00 -100.00    0.00    0.00 -100.00 1.808E+03

   5.014 20.935  1.40    3.07    5.83    2.25    0.00    8.08  0.762
   2.114  0.257  4.92    0.00 -100.00    0.00    0.00 -100.00 1.426E+03

   5.014 22.020  1.40    3.65    7.75    2.68    0.00   10.43  0.744
   1.913  0.241  5.30    0.00 -100.00    0.00    0.00 -100.00 1.196E+03

   5.014 23.177  1.40    4.39    9.68    3.22    0.01   12.91  0.726
   1.729  0.227  5.65    0.00 -100.00    0.00    0.00 -100.00 1.007E+03

   5.014 24.469  1.40    5.32   11.71    3.93    0.01   15.64  0.707
   1.554  0.216  5.97    0.00 -100.00    0.00    0.00 -100.00 8.453E+02

   5.014 26.060  1.40    6.64   14.11    4.93    0.01   19.06  0.685
   1.373  0.205  6.31    0.00 -100.00    0.00    0.00 -100.00 6.951E+02

   5.014 30.468  1.42   10.80   19.95    8.22    0.03   28.19  0.642
   1.026  0.190  6.94    0.00 -100.00    0.00    0.00 -100.00 4.381E+02

   5.014 20.709  1.54    2.35    2.24    1.74    0.00    3.98  0.789
   2.373  0.310  4.30    0.00 -100.00    0.00    0.00 -100.00 1.373E+03

   5.014 21.968  1.54    2.82    4.57    2.07    0.00    6.64  0.769
   2.114  0.283  4.78    0.00 -100.00    0.00    0.00 -100.00 1.122E+03

   5.014 23.102  1.54    3.35    6.44    2.46    0.00    8.90  0.753
   1.914  0.265  5.16    0.00 -100.00    0.00    0.00 -100.00 9.495E+02

   5.014 24.327  1.54    4.03    8.31    2.96    0.00   11.28  0.736
   1.729  0.250  5.51    0.00 -100.00    0.00    0.00 -100.00 8.043E+02

   5.014 25.690  1.54    4.90   10.29    3.62    0.01   13.91  0.718
   1.553  0.237  5.83    0.00 -100.00    0.00    0.00 -100.00 6.786E+02

   5.014 27.351  1.54    6.12   12.62    4.55    0.01   17.18  0.697
   1.373  0.225  6.17    0.00 -100.00    0.00    0.00 -100.00 5.623E+02

   5.014 32.025  1.56   10.02   18.27    7.66    0.02   25.95  0.653
   1.025  0.209  6.80    0.00 -100.00    0.00    0.00 -100.00 3.561E+02

   5.014 21.833  1.68    2.25    1.42    1.67    0.00    3.09  0.799
   2.335  0.334  4.23    0.00 -100.00    0.00    0.00 -100.00 1.040E+03

   5.014 22.994  1.68    2.62    3.35    1.92    0.00    5.27  0.779
   2.114  0.309  4.64    0.00 -100.00    0.00    0.00 -100.00 8.807E+02

   5.014 24.182  1.68    3.10    5.18    2.27    0.00    7.45  0.762
   1.914  0.289  5.01    0.00 -100.00    0.00    0.00 -100.00 7.527E+02

   5.014 25.464  1.68    3.72    7.00    2.73    0.00    9.74  0.746
   1.729  0.273  5.36    0.00 -100.00    0.00    0.00 -100.00 6.430E+02

   5.014 26.889  1.68    4.52    8.92    3.34    0.00   12.26  0.728
   1.553  0.259  5.69    0.00 -100.00    0.00    0.00 -100.00 5.467E+02

   5.014 28.632  1.68    5.66   11.17    4.22    0.01   15.39  0.708
   1.374  0.247  6.03    0.00 -100.00    0.00    0.00 -100.00 4.557E+02

   5.014 33.623  1.71    9.42   16.77    7.24    0.02   24.02  0.662
   1.020  0.228  6.66    0.00 -100.00    0.00    0.00 -100.00 2.896E+02

   5.014 23.356  1.88    2.15    0.41    1.61    0.00    2.02  0.811
   2.282  0.366  4.13    0.00 -100.00    0.00    0.00 -100.00 7.194E+02

   5.014 25.032  1.99    2.32    1.12    1.72    0.00    2.84  0.803
   2.109  0.365  4.34    0.00 -100.00    0.00    0.00 -100.00 5.381E+02

   5.014 26.388  2.00    2.70    2.75    1.98    0.00    4.73  0.785
   1.914  0.344  4.70    0.00 -100.00    0.00    0.00 -100.00 4.625E+02

   5.014 27.743  1.99    3.23    4.50    2.37    0.00    6.87  0.767
   1.729  0.323  5.05    0.00 -100.00    0.00    0.00 -100.00 4.066E+02

   5.014 29.307  1.99    3.91    6.27    2.89    0.00    9.16  0.749
   1.554  0.307  5.38    0.00 -100.00    0.00    0.00 -100.00 3.509E+02

   5.014 31.297  2.00    4.89    8.28    3.65    0.00   11.93  0.730
   1.374  0.293  5.71    0.00 -100.00    0.00    0.00 -100.00 2.931E+02

   5.014 36.475  2.03    8.09   13.35    6.25    0.01   19.61  0.686
   1.032  0.271  6.33    0.00 -100.00    0.00    0.00 -100.00 1.959E+02

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014 27.731  2.36    2.17   -0.82    1.62    0.00    0.81  0.822
   2.053  0.425  4.07    0.00 -100.00    0.00    0.00 -100.00 2.888E+02

   5.014 29.652  2.50    2.36   -0.31    1.75    0.00    1.44  0.816
   1.900  0.427  4.23    0.00 -100.00    0.00    0.00 -100.00 2.191E+02

   5.014 31.587  2.57    2.69    0.74    2.00    0.00    2.73  0.806
   1.728  0.416  4.48    0.00 -100.00    0.00    0.00 -100.00 1.795E+02

   5.014 33.332  2.56    3.23    2.32    2.41    0.00    4.73  0.789
   1.554  0.395  4.81    0.00 -100.00    0.00    0.00 -100.00 1.614E+02

   5.014 35.481  2.56    4.03    4.15    3.03    0.00    7.19  0.769
   1.374  0.375  5.15    0.00 -100.00    0.00    0.00 -100.00 1.418E+02

   5.014 41.510  2.60    6.72    8.45    5.27    0.00   13.72  0.725
   1.032  0.348  5.75    0.00 -100.00    0.00    0.00 -100.00 9.793E+01

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014 34.494  3.00    2.54   -1.44    1.94    0.00    0.50  0.841
   1.699  0.481  4.11    0.00 -100.00    0.00    0.00 -100.00 9.737E+01

   5.014 36.889  3.11    2.89   -0.74    2.21    0.00    1.46  0.829
   1.548  0.478  4.28    0.00 -100.00    0.00    0.00 -100.00 7.764E+01

   5.014 40.115  3.23    3.48    0.20    2.70    0.00    2.90  0.819
   1.371  0.473  4.48    0.00 -100.00    0.00    0.00 -100.00 5.976E+01

   5.014 45.014  3.24    5.15    3.08    4.09    0.00    7.17  0.780
   1.102  0.441  4.98    0.00 -100.00    0.00    0.00 -100.00 4.900E+01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

