EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS LEAD                                                               
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 82,208);   avgA = 208.000; amuM=207.964; avgM=193.719
 targ= ordina; ttarg(rl)=0.01561; twall=0.00000; tbeam=0.00000; tspec=0.00761
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   5.014 17.266  1.08    2.59    5.67    1.95    0.00    7.62  0.768
   2.394  0.220  4.72    0.00 -100.00    0.00    0.00 -100.00 1.368E+04

   5.014 18.277  1.07    3.27    8.59    2.42    0.01   11.02  0.739
   2.107  0.195  5.27    0.00 -100.00    0.00    0.00 -100.00 1.078E+04

   5.014 19.166  1.06    3.91   10.62    2.88    0.02   13.52  0.718
   1.910  0.182  5.64    0.00 -100.00    0.00    0.00 -100.00 8.936E+03

   5.014 20.143  1.06    4.69   12.63    3.45    0.03   16.11  0.698
   1.727  0.172  5.99    0.00 -100.00    0.00    0.00 -100.00 7.414E+03

   5.014 21.249  1.06    5.67   14.76    4.18    0.05   18.99  0.678
   1.552  0.163  6.32    0.00 -100.00    0.00    0.00 -100.00 6.120E+03

   5.014 22.610  1.06    7.04   17.25    5.21    0.09   22.56  0.658
   1.372  0.155  6.66    0.00 -100.00    0.00    0.00 -100.00 4.946E+03

   5.014 26.522  1.07   11.41   23.11    8.64    0.26   32.01  0.616
   1.016  0.143  7.31    0.00 -100.00    0.00    0.00 -100.00 2.968E+03

   5.014 17.770  1.17    2.33    4.12    1.75    0.00    5.87  0.776
   2.450  0.244  4.52    0.00 -100.00    0.00    0.00 -100.00 1.193E+04

   5.014 19.112  1.17    3.02    7.38    2.24    0.00    9.62  0.748
   2.112  0.214  5.16    0.00 -100.00    0.00    0.00 -100.00 8.839E+03

   5.014 20.087  1.17    3.61    9.36    2.66    0.01   12.03  0.728
   1.912  0.200  5.53    0.00 -100.00    0.00    0.00 -100.00 7.296E+03

   5.014 21.145  1.17    4.34   11.32    3.20    0.02   14.53  0.707
   1.728  0.189  5.88    0.00 -100.00    0.00    0.00 -100.00 6.042E+03

   5.014 22.315  1.17    5.26   13.38    3.88    0.03   17.29  0.688
   1.553  0.180  6.21    0.00 -100.00    0.00    0.00 -100.00 5.002E+03

   5.014 23.754  1.17    6.54   15.80    4.86    0.05   20.70  0.667
   1.373  0.171  6.55    0.00 -100.00    0.00    0.00 -100.00 4.057E+03

   5.014 27.852  1.18   10.64   21.66    8.08    0.14   29.87  0.625
   1.019  0.158  7.19    0.00 -100.00    0.00    0.00 -100.00 2.457E+03

   5.014 18.605  1.28    2.20    3.10    1.64    0.00    4.74  0.779
   2.437  0.264  4.44    0.00 -100.00    0.00    0.00 -100.00 9.559E+03

   5.014 19.986  1.28    2.80    6.20    2.07    0.00    8.27  0.755
   2.113  0.234  5.05    0.00 -100.00    0.00    0.00 -100.00 7.191E+03

   5.014 21.017  1.28    3.35    8.15    2.47    0.00   10.62  0.736
   1.913  0.219  5.42    0.00 -100.00    0.00    0.00 -100.00 5.955E+03

   5.014 22.115  1.28    4.04   10.07    2.98    0.01   13.05  0.716
   1.728  0.207  5.77    0.00 -100.00    0.00    0.00 -100.00 4.964E+03

   5.014 23.351  1.28    4.90   12.07    3.63    0.01   15.71  0.697
   1.553  0.196  6.10    0.00 -100.00    0.00    0.00 -100.00 4.120E+03

   5.014 24.851  1.28    6.12   14.43    4.55    0.03   19.00  0.676
   1.373  0.187  6.44    0.00 -100.00    0.00    0.00 -100.00 3.360E+03

   5.014 29.185  1.30   10.05   20.20    7.65    0.07   27.92  0.632
   1.018  0.173  7.08    0.00 -100.00    0.00    0.00 -100.00 2.043E+03

   5.014 19.613  1.40    2.09    2.14    1.55    0.00    3.69  0.780
   2.407  0.286  4.37    0.00 -100.00    0.00    0.00 -100.00 7.348E+03

   5.014 20.935  1.40    2.60    4.92    1.92    0.00    6.83  0.762
   2.114  0.257  4.92    0.00 -100.00    0.00    0.00 -100.00 5.743E+03

   5.014 22.020  1.40    3.11    6.83    2.29    0.00    9.12  0.744
   1.913  0.241  5.30    0.00 -100.00    0.00    0.00 -100.00 4.785E+03

   5.014 23.177  1.40    3.74    8.72    2.76    0.00   11.48  0.726
   1.729  0.227  5.65    0.00 -100.00    0.00    0.00 -100.00 4.008E+03

   5.014 24.469  1.40    4.56   10.67    3.37    0.01   14.05  0.707
   1.554  0.216  5.97    0.00 -100.00    0.00    0.00 -100.00 3.346E+03

   5.014 26.060  1.40    5.70   12.96    4.24    0.01   17.21  0.685
   1.373  0.205  6.31    0.00 -100.00    0.00    0.00 -100.00 2.737E+03

   5.014 30.468  1.42    9.33   18.42    7.11    0.04   25.57  0.642
   1.026  0.190  6.94    0.00 -100.00    0.00    0.00 -100.00 1.703E+03

   5.014 20.709  1.54    2.00    1.14    1.48    0.00    2.62  0.788
   2.373  0.310  4.30    0.00 -100.00    0.00    0.00 -100.00 5.536E+03

   5.014 21.968  1.54    2.41    3.55    1.77    0.00    5.32  0.768
   2.114  0.283  4.78    0.00 -100.00    0.00    0.00 -100.00 4.488E+03

   5.014 23.102  1.54    2.88    5.43    2.11    0.00    7.54  0.752
   1.914  0.265  5.16    0.00 -100.00    0.00    0.00 -100.00 3.776E+03

   5.014 24.327  1.54    3.47    7.27    2.55    0.00    9.83  0.735
   1.729  0.250  5.51    0.00 -100.00    0.00    0.00 -100.00 3.181E+03

   5.014 25.690  1.54    4.23    9.17    3.12    0.00   12.30  0.716
   1.553  0.237  5.83    0.00 -100.00    0.00    0.00 -100.00 2.670E+03

   5.014 27.351  1.54    5.30   11.39    3.95    0.01   15.34  0.695
   1.373  0.225  6.17    0.00 -100.00    0.00    0.00 -100.00 2.200E+03

   5.014 32.025  1.56    8.74   16.63    6.67    0.02   23.32  0.650
   1.025  0.209  6.80    0.00 -100.00    0.00    0.00 -100.00 1.376E+03

   5.014 21.833  1.68    1.93    0.19    1.44    0.00    1.63  0.797
   2.335  0.334  4.23    0.00 -100.00    0.00    0.00 -100.00 4.159E+03

   5.014 22.994  1.68    2.26    2.21    1.65    0.00    3.87  0.776
   2.114  0.309  4.64    0.00 -100.00    0.00    0.00 -100.00 3.500E+03

   5.014 24.182  1.68    2.69    4.06    1.96    0.00    6.02  0.759
   1.914  0.289  5.01    0.00 -100.00    0.00    0.00 -100.00 2.974E+03

   5.014 25.464  1.68    3.23    5.86    2.37    0.00    8.23  0.743
   1.729  0.273  5.36    0.00 -100.00    0.00    0.00 -100.00 2.527E+03

   5.014 26.889  1.68    3.94    7.70    2.91    0.00   10.61  0.725
   1.553  0.259  5.69    0.00 -100.00    0.00    0.00 -100.00 2.138E+03

   5.014 28.632  1.68    4.95    9.84    3.68    0.00   13.52  0.704
   1.374  0.247  6.03    0.00 -100.00    0.00    0.00 -100.00 1.773E+03

   5.014 33.623  1.71    8.29   14.99    6.35    0.01   21.34  0.658
   1.020  0.228  6.66    0.00 -100.00    0.00    0.00 -100.00 1.113E+03

   5.014 23.356  1.88    1.88   -0.98    1.40    0.00    0.42  0.807
   2.282  0.366  4.13    0.00 -100.00    0.00    0.00 -100.00 2.839E+03

   5.014 25.032  1.99    2.04   -0.32    1.51    0.00    1.18  0.798
   2.109  0.365  4.34    0.00 -100.00    0.00    0.00 -100.00 2.104E+03

   5.014 26.388  2.00    2.39    1.32    1.74    0.00    3.06  0.780
   1.914  0.344  4.70    0.00 -100.00    0.00    0.00 -100.00 1.800E+03

   5.014 27.743  1.99    2.86    3.07    2.09    0.00    5.16  0.762
   1.729  0.323  5.05    0.00 -100.00    0.00    0.00 -100.00 1.576E+03

   5.014 29.307  1.99    3.47    4.78    2.55    0.00    7.33  0.743
   1.554  0.307  5.38    0.00 -100.00    0.00    0.00 -100.00 1.354E+03

   5.014 31.297  2.00    4.35    6.66    3.22    0.00    9.89  0.723
   1.374  0.293  5.71    0.00 -100.00    0.00    0.00 -100.00 1.126E+03

   5.014 36.475  2.03    7.25   11.25    5.56    0.00   16.81  0.679
   1.032  0.271  6.33    0.00 -100.00    0.00    0.00 -100.00 7.445E+02

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014 27.731  2.36    1.97   -2.61    1.46    0.00   -1.16  0.814
   2.053  0.425  4.07    0.00 -100.00    0.00    0.00 -100.00 1.104E+03

   5.014 29.652  2.50    2.15   -2.23    1.58    0.00   -0.65  0.806
   1.900  0.427  4.23    0.00 -100.00    0.00    0.00 -100.00 8.301E+02

   5.014 31.587  2.57    2.47   -1.29    1.81    0.00    0.52  0.794
   1.728  0.416  4.48    0.00 -100.00    0.00    0.00 -100.00 6.762E+02

   5.014 33.332  2.56    2.97    0.23    2.18    0.00    2.41  0.777
   1.554  0.395  4.81    0.00 -100.00    0.00    0.00 -100.00 6.069E+02

   5.014 35.481  2.56    3.71    1.93    2.75    0.00    4.68  0.757
   1.374  0.375  5.15    0.00 -100.00    0.00    0.00 -100.00 5.319E+02

   5.014 41.510  2.60    6.21    5.63    4.77    0.00   10.40  0.710
   1.032  0.348  5.75    0.00 -100.00    0.00    0.00 -100.00 3.646E+02

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014 34.494  3.00    2.39   -3.93    1.80    0.00   -2.13  0.826
   1.699  0.481  4.11    0.00 -100.00    0.00    0.00 -100.00 3.589E+02

   5.014 36.889  3.11    2.74   -3.42    2.05    0.00   -1.37  0.811
   1.548  0.478  4.28    0.00 -100.00    0.00    0.00 -100.00 2.845E+02

   5.014 40.115  3.23    3.32   -2.78    2.50    0.00   -0.27  0.798
   1.371  0.473  4.48    0.00 -100.00    0.00    0.00 -100.00 2.176E+02

   5.014 45.014  3.24    4.91   -0.37    3.79    0.00    3.42  0.758
   1.102  0.441  4.98    0.00 -100.00    0.00    0.00 -100.00 1.781E+02

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

