                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.3935  17.2660  0.10957E+03  0.12045E+03  0.41785E-01  0.11681E+03  0.12045E+03  0.41785E-01  0.11681E+03
    5.0140   2.1071  18.2770  0.88069E+02  0.99682E+02  0.62286E-01  0.95983E+02  0.99682E+02  0.62286E-01  0.95983E+02
    5.0140   1.9095  19.1660  0.73908E+02  0.85596E+02  0.78803E-01  0.81839E+02  0.85596E+02  0.78803E-01  0.81839E+02
    5.0140   1.7266  20.1430  0.61940E+02  0.73528E+02  0.96524E-01  0.69675E+02  0.73528E+02  0.96524E-01  0.69675E+02
    5.0140   1.5516  21.2490  0.51623E+02  0.63011E+02  0.11753E+00  0.59030E+02  0.63011E+02  0.11753E+00  0.59030E+02
    5.0140   1.3719  22.6100  0.42169E+02  0.53269E+02  0.14366E+00  0.49127E+02  0.53269E+02  0.14366E+00  0.49127E+02
    5.0140   1.0163  26.5220  0.25955E+02  0.36023E+02  0.21097E+00  0.31547E+02  0.36023E+02  0.21097E+00  0.31547E+02
    5.0140   2.4496  17.7700  0.96030E+02  0.10399E+03  0.25076E-01  0.10116E+03  0.10399E+03  0.25076E-01  0.10116E+03
    5.0140   2.1123  19.1120  0.72728E+02  0.81331E+02  0.38274E-01  0.78565E+02  0.81331E+02  0.38274E-01  0.78565E+02
    5.0140   1.9124  20.0870  0.60844E+02  0.69539E+02  0.48142E-01  0.66749E+02  0.69539E+02  0.48142E-01  0.66749E+02
    5.0140   1.7276  21.1450  0.50931E+02  0.59597E+02  0.59150E-01  0.56748E+02  0.59597E+02  0.59150E-01  0.56748E+02
    5.0140   1.5528  22.3150  0.42573E+02  0.51157E+02  0.71841E-01  0.48201E+02  0.51157E+02  0.71841E-01  0.48201E+02
    5.0140   1.3726  23.7540  0.34881E+02  0.43323E+02  0.88854E-01  0.40230E+02  0.43323E+02  0.88854E-01  0.40230E+02
    5.0140   1.0193  27.8520  0.21645E+02  0.29422E+02  0.13108E+00  0.26059E+02  0.29422E+02  0.13108E+00  0.26059E+02
    5.0140   2.4373  18.6050  0.77920E+02  0.83532E+02  0.15577E-01  0.81418E+02  0.83532E+02  0.15577E-01  0.81418E+02
    5.0140   2.1128  19.9860  0.59589E+02  0.65898E+02  0.23438E-01  0.63833E+02  0.65898E+02  0.23438E-01  0.63833E+02
    5.0140   1.9126  21.0170  0.50065E+02  0.56534E+02  0.29733E-01  0.54447E+02  0.56534E+02  0.29733E-01  0.54447E+02
    5.0140   1.7284  22.1150  0.42207E+02  0.48754E+02  0.36910E-01  0.46607E+02  0.48754E+02  0.36910E-01  0.46607E+02
    5.0140   1.5531  23.3512  0.35374E+02  0.41914E+02  0.45161E-01  0.39684E+02  0.41914E+02  0.45161E-01  0.39684E+02
    5.0140   1.3733  24.8510  0.29143E+02  0.35647E+02  0.56059E-01  0.33294E+02  0.35647E+02  0.56059E-01  0.33294E+02
    5.0140   1.0177  29.1850  0.18135E+02  0.24208E+02  0.83628E-01  0.21626E+02  0.24208E+02  0.83628E-01  0.21626E+02
    5.0140   2.4067  19.6126  0.60878E+02  0.64648E+02  0.94364E-02  0.63115E+02  0.64648E+02  0.94364E-02  0.63115E+02
    5.0140   2.1138  20.9350  0.47997E+02  0.52471E+02  0.13824E-01  0.50963E+02  0.52471E+02  0.13824E-01  0.50963E+02
    5.0140   1.9134  22.0200  0.40579E+02  0.45261E+02  0.17666E-01  0.43729E+02  0.45261E+02  0.17666E-01  0.43729E+02
    5.0140   1.7287  23.1770  0.34398E+02  0.39209E+02  0.22179E-01  0.37625E+02  0.39209E+02  0.22179E-01  0.37625E+02
    5.0140   1.5537  24.4690  0.29005E+02  0.33879E+02  0.27376E-01  0.32225E+02  0.33879E+02  0.27376E-01  0.32225E+02
    5.0140   1.3732  26.0600  0.23958E+02  0.28850E+02  0.34174E-01  0.27096E+02  0.28850E+02  0.34174E-01  0.27096E+02
    5.0140   1.0256  30.4680  0.15239E+02  0.19917E+02  0.51481E-01  0.17965E+02  0.19917E+02  0.51481E-01  0.17965E+02
    5.0140   2.3727  20.7090  0.46459E+02  0.48953E+02  0.55670E-02  0.47858E+02  0.48953E+02  0.55670E-02  0.47858E+02
    5.0140   2.1137  21.9680  0.37947E+02  0.41004E+02  0.78503E-02  0.39923E+02  0.41004E+02  0.78503E-02  0.39923E+02
    5.0140   1.9138  23.1020  0.32340E+02  0.35626E+02  0.10155E-01  0.34524E+02  0.35626E+02  0.10155E-01  0.34524E+02
    5.0140   1.7287  24.3266  0.27574E+02  0.31014E+02  0.12817E-01  0.29869E+02  0.31014E+02  0.12817E-01  0.29869E+02
    5.0140   1.5533  25.6900  0.23381E+02  0.26920E+02  0.15992E-01  0.25715E+02  0.26920E+02  0.15992E-01  0.25715E+02
    5.0140   1.3734  27.3510  0.19458E+02  0.23066E+02  0.20195E-01  0.21779E+02  0.23066E+02  0.20195E-01  0.21779E+02
    5.0140   1.0253  32.0253  0.12431E+02  0.15941E+02  0.30573E-01  0.14490E+02  0.15941E+02  0.30573E-01  0.14490E+02
    5.0140   2.3348  21.8330  0.35372E+02  0.37046E+02  0.33272E-02  0.36257E+02  0.37046E+02  0.33272E-02  0.36257E+02
    5.0140   2.1135  22.9940  0.30104E+02  0.32146E+02  0.44902E-02  0.31366E+02  0.32146E+02  0.44902E-02  0.31366E+02
