                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.3935  17.2660  0.33119E+04  0.36120E+04  0.11130E+00  0.35341E+04  0.36120E+04  0.11130E+00  0.35341E+04
    5.0140   2.1071  18.2770  0.26294E+04  0.29587E+04  0.16630E+00  0.28820E+04  0.29587E+04  0.16630E+00  0.28820E+04
    5.0140   1.9095  19.1660  0.21919E+04  0.25240E+04  0.24463E+00  0.24481E+04  0.25240E+04  0.24463E+00  0.24481E+04
    5.0140   1.7266  20.1430  0.18274E+04  0.21553E+04  0.37633E+00  0.20793E+04  0.21553E+04  0.37633E+00  0.20793E+04
    5.0140   1.5516  21.2490  0.15156E+04  0.18346E+04  0.58061E+00  0.17584E+04  0.18346E+04  0.58061E+00  0.17584E+04
    5.0140   1.3719  22.6100  0.12316E+04  0.15386E+04  0.89682E+00  0.14614E+04  0.15386E+04  0.89682E+00  0.14614E+04
    5.0140   1.0163  26.5220  0.74864E+03  0.10130E+04  0.17203E+01  0.93484E+03  0.10130E+04  0.17203E+01  0.93484E+03
    5.0140   2.4496  17.7700  0.28934E+04  0.31070E+04  0.70781E-01  0.30460E+04  0.31070E+04  0.70781E-01  0.30460E+04
    5.0140   2.1123  19.1120  0.21659E+04  0.24076E+04  0.10317E+00  0.23497E+04  0.24076E+04  0.10317E+00  0.23497E+04
    5.0140   1.9124  20.0870  0.17979E+04  0.20441E+04  0.12738E+00  0.19869E+04  0.20441E+04  0.12738E+00  0.19869E+04
    5.0140   1.7276  21.1450  0.14967E+04  0.17416E+04  0.16456E+00  0.16846E+04  0.17416E+04  0.16456E+00  0.16846E+04
    5.0140   1.5528  22.3150  0.12450E+04  0.14860E+04  0.22559E+00  0.14284E+04  0.14860E+04  0.22559E+00  0.14284E+04
    5.0140   1.3726  23.7540  0.10149E+04  0.12493E+04  0.32940E+00  0.11907E+04  0.12493E+04  0.32940E+00  0.11907E+04
    5.0140   1.0193  27.8520  0.62245E+03  0.82947E+03  0.62383E+00  0.76973E+03  0.82947E+03  0.62383E+00  0.76973E+03
    5.0140   2.4373  18.6050  0.23279E+04  0.24759E+04  0.41336E-01  0.24302E+04  0.24759E+04  0.41336E-01  0.24302E+04
    5.0140   2.1128  19.9860  0.17695E+04  0.19445E+04  0.67866E-01  0.19008E+04  0.19445E+04  0.67866E-01  0.19008E+04
    5.0140   1.9126  21.0170  0.14742E+04  0.16561E+04  0.82695E-01  0.16128E+04  0.16561E+04  0.82695E-01  0.16128E+04
    5.0140   1.7284  22.1150  0.12355E+04  0.14198E+04  0.98189E-01  0.13763E+04  0.14198E+04  0.98189E-01  0.13763E+04
    5.0140   1.5531  23.3512  0.10304E+04  0.12139E+04  0.11832E+00  0.11698E+04  0.12139E+04  0.11832E+00  0.11698E+04
