                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.3935  17.2660  0.13607E+05  0.14725E+05  0.35393E+00  0.14458E+05  0.14725E+05  0.35393E+00  0.14458E+05
    5.0140   2.1071  18.2770  0.10718E+05  0.11964E+05  0.90110E+00  0.11702E+05  0.11964E+05  0.90110E+00  0.11702E+05
    5.0140   1.9095  19.1660  0.88855E+04  0.10144E+05  0.15056E+01  0.98851E+04  0.10144E+05  0.15056E+01  0.98851E+04
    5.0140   1.7266  20.1430  0.73700E+04  0.86087E+04  0.22859E+01  0.83508E+04  0.86087E+04  0.22859E+01  0.83508E+04
    5.0140   1.5516  21.2490  0.60803E+04  0.72824E+04  0.32786E+01  0.70232E+04  0.72824E+04  0.32786E+01  0.70232E+04
    5.0140   1.3719  22.6100  0.49109E+04  0.60621E+04  0.46039E+01  0.57998E+04  0.60621E+04  0.46039E+01  0.57998E+04
    5.0140   1.0163  26.5220  0.29385E+04  0.39184E+04  0.75747E+01  0.36542E+04  0.39184E+04  0.75747E+01  0.36542E+04
    5.0140   2.4496  17.7700  0.11854E+05  0.12635E+05  0.12558E+00  0.12426E+05  0.12635E+05  0.12558E+00  0.12426E+05
    5.0140   2.1123  19.1120  0.87803E+04  0.96901E+04  0.36292E+00  0.94921E+04  0.96901E+04  0.36292E+00  0.94921E+04
    5.0140   1.9124  20.0870  0.72450E+04  0.81736E+04  0.61368E+00  0.79787E+04  0.81736E+04  0.61368E+00  0.79787E+04
    5.0140   1.7276  21.1450  0.59977E+04  0.69203E+04  0.94680E+00  0.67262E+04  0.69203E+04  0.94680E+00  0.67262E+04
    5.0140   1.5528  22.3150  0.49625E+04  0.58671E+04  0.13838E+01  0.56715E+04  0.58671E+04  0.13838E+01  0.56715E+04
    5.0140   1.3726  23.7540  0.40209E+04  0.48964E+04  0.19877E+01  0.46974E+04  0.48964E+04  0.19877E+01  0.46974E+04
    5.0140   1.0193  27.8520  0.24281E+04  0.31915E+04  0.33459E+01  0.29896E+04  0.31915E+04  0.33459E+01  0.29896E+04
    5.0140   2.4373  18.6050  0.94799E+04  0.10013E+05  0.48704E-01  0.98562E+04  0.10013E+05  0.48704E-01  0.98562E+04
    5.0140   2.1128  19.9860  0.71322E+04  0.77858E+04  0.14196E+00  0.76366E+04  0.77858E+04  0.14196E+00  0.76366E+04
    5.0140   1.9126  21.0170  0.59049E+04  0.65874E+04  0.24809E+00  0.64398E+04  0.65874E+04  0.24809E+00  0.64398E+04
    5.0140   1.7284  22.1150  0.49206E+04  0.56122E+04  0.39717E+00  0.54640E+04  0.56122E+04  0.39717E+00  0.54640E+04
    5.0140   1.5531  23.3512  0.40812E+04  0.47672E+04  0.59358E+00  0.46173E+04  0.47672E+04  0.59358E+00  0.46173E+04
    5.0140   1.3733  24.8510  0.33257E+04  0.39989E+04  0.87681E+00  0.38453E+04  0.39989E+04  0.87681E+00  0.38453E+04
    5.0140   1.0177  29.1850  0.20145E+04  0.26130E+04  0.15293E+01  0.24552E+04  0.26130E+04  0.15293E+01  0.24552E+04
    5.0140   2.4067  19.6126  0.72723E+04  0.76190E+04  0.17531E-01  0.75052E+04  0.76190E+04  0.17531E-01  0.75052E+04
    5.0140   2.1138  20.9350  0.56863E+04  0.61357E+04  0.49573E-01  0.60256E+04  0.61357E+04  0.49573E-01  0.60256E+04
    5.0140   1.9134  22.0200  0.47366E+04  0.52214E+04  0.90682E-01  0.51118E+04  0.52214E+04  0.90682E-01  0.51118E+04
    5.0140   1.7287  23.1770  0.39663E+04  0.44686E+04  0.15084E+00  0.43578E+04  0.44686E+04  0.15084E+00  0.43578E+04
    5.0140   1.5537  24.4690  0.33092E+04  0.38166E+04  0.23317E+00  0.37036E+04  0.38166E+04  0.23317E+00  0.37036E+04
    5.0140   1.3732  26.0600  0.27035E+04  0.32077E+04  0.35260E+00  0.30912E+04  0.32077E+04  0.35260E+00  0.30912E+04
    5.0140   1.0256  30.4680  0.16760E+04  0.21382E+04  0.64046E+00  0.20164E+04  0.21382E+04  0.64046E+00  0.20164E+04
    5.0140   2.3727  20.7090  0.54659E+04  0.56805E+04  0.57711E-02  0.55985E+04  0.56805E+04  0.57711E-02  0.55985E+04
    5.0140   2.1137  21.9680  0.44339E+04  0.47274E+04  0.15324E-01  0.46479E+04  0.47274E+04  0.15324E-01  0.46479E+04
    5.0140   1.9138  23.1020  0.37298E+04  0.40608E+04  0.29726E-01  0.39811E+04  0.40608E+04  0.29726E-01  0.39811E+04
    5.0140   1.7287  24.3266  0.31409E+04  0.34934E+04  0.51516E-01  0.34122E+04  0.34934E+04  0.51516E-01  0.34122E+04
    5.0140   1.5533  25.6900  0.26347E+04  0.29984E+04  0.82684E-01  0.29149E+04  0.29984E+04  0.82684E-01  0.29149E+04
    5.0140   1.3734  27.3510  0.21692E+04  0.25379E+04  0.12996E+00  0.24510E+04  0.25379E+04  0.12996E+00  0.24510E+04
    5.0140   1.0253  32.0253  0.13511E+04  0.16970E+04  0.24338E+00  0.16049E+04  0.16970E+04  0.24338E+00  0.16049E+04
    5.0140   2.3348  21.8330  0.40952E+04  0.42264E+04  0.18973E-02  0.41666E+04  0.42264E+04  0.18973E-02  0.41666E+04
    5.0140   2.1135  22.9940  0.34486E+04  0.36353E+04  0.45688E-02  0.35774E+04  0.36353E+04  0.45688E-02  0.35774E+04
    5.0140   1.9137  24.1820  0.29305E+04  0.31531E+04  0.94342E-02  0.30948E+04  0.31531E+04  0.94342E-02  0.30948E+04
    5.0140   1.7285  25.4640  0.24893E+04  0.27349E+04  0.17236E-01  0.26749E+04  0.27349E+04  0.17236E-01  0.26749E+04
    5.0140   1.5533  26.8890  0.21045E+04  0.23645E+04  0.28885E-01  0.23023E+04  0.23645E+04  0.28885E-01  0.23023E+04
    5.0140   1.3737  28.6319  0.17434E+04  0.20123E+04  0.46949E-01  0.19470E+04  0.20123E+04  0.46949E-01  0.19470E+04
    5.0140   1.0200  33.6230  0.10896E+04  0.13502E+04  0.94178E-01  0.12795E+04  0.13502E+04  0.94178E-01  0.12795E+04
    5.0140   2.2824  23.3560  0.27857E+04  0.28511E+04  0.42474E-03  0.28114E+04  0.28511E+04  0.42474E-03  0.28114E+04
    5.0140   2.1094  25.0320  0.20604E+04  0.21287E+04  0.37007E-03  0.20970E+04  0.21287E+04  0.37007E-03  0.20970E+04
    5.0140   1.9137  26.3880  0.17631E+04  0.18552E+04  0.78316E-03  0.18239E+04  0.18552E+04  0.78316E-03  0.18239E+04
    5.0140   1.7290  27.7430  0.15436E+04  0.16573E+04  0.16860E-02  0.16244E+04  0.16573E+04  0.16860E-02  0.16244E+04
    5.0140   1.5538  29.3070  0.13256E+04  0.14535E+04  0.30909E-02  0.14190E+04  0.14535E+04  0.30909E-02  0.14190E+04
    5.0140   1.3736  31.2970  0.11004E+04  0.12370E+04  0.51416E-02  0.12007E+04  0.12370E+04  0.51416E-02  0.12007E+04
    5.0140   1.0318  36.4750  0.72449E+03  0.86966E+03  0.11981E-01  0.82827E+03  0.86966E+03  0.11981E-01  0.82827E+03
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   2.0525  27.7310  0.10727E+04  0.10908E+04  0.20671E-04  0.10747E+04  0.10908E+04  0.20671E-04  0.10747E+04
    5.0140   1.9000  29.6520  0.80475E+03  0.82473E+03  0.15933E-04  0.81161E+03  0.82473E+03  0.15933E-04  0.81161E+03
    5.0140   1.7276  31.5870  0.65425E+03  0.67971E+03  0.21855E-04  0.66748E+03  0.67971E+03  0.21855E-04  0.66748E+03
    5.0140   1.5535  33.3319  0.58682E+03  0.62155E+03  0.50900E-04  0.60832E+03  0.62155E+03  0.50900E-04  0.60832E+03
    5.0140   1.3743  35.4810  0.51362E+03  0.55680E+03  0.11147E-03  0.54219E+03  0.55680E+03  0.11147E-03  0.54219E+03
    5.0140   1.0319  41.5100  0.34976E+03  0.40251E+03  0.31083E-03  0.38512E+03  0.40251E+03  0.31083E-03  0.38512E+03
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   1.6988  34.4940  0.34383E+03  0.35122E+03  0.89664E-06  0.34478E+03  0.35122E+03  0.89664E-06  0.34478E+03
    5.0140   1.5481  36.8890  0.27161E+03  0.28058E+03  0.89146E-06  0.27476E+03  0.28058E+03  0.89146E-06  0.27476E+03
    5.0140   1.3706  40.1151  0.20667E+03  0.21700E+03  0.93200E-06  0.21155E+03  0.21700E+03  0.93200E-06  0.21155E+03
    5.0140   1.1024  45.0140  0.16814E+03  0.18414E+03  0.34414E-05  0.17739E+03  0.18414E+03  0.34414E-05  0.17739E+03
