EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
Stein deuterium                                                         
from Dunne 8/01                                                         

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=   TUNA; ttarg(rl)=0.00533; twall=0.00143; tbeam=0.00143; tspec=0.00761
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
   5.014 17.266  1.08    3.54    6.60    3.28    0.04    9.92  0.955
   2.394  0.220  4.72    0.00 -100.00    0.00    0.00 -100.00 1.096E+02

   5.014 18.277  1.07    4.41    8.99    4.13    0.07   13.19  0.945
   2.107  0.195  5.27    0.00 -100.00    0.00    0.00 -100.00 8.807E+01

   5.014 19.166  1.06    5.24   10.73    4.98    0.11   15.81  0.939
   1.910  0.182  5.64    0.00 -100.00    0.00    0.00 -100.00 7.391E+01

   5.014 20.143  1.06    6.25   12.49    6.06    0.16   18.71  0.936
   1.727  0.172  5.99    0.00 -100.00    0.00    0.00 -100.00 6.194E+01

   5.014 21.249  1.06    7.53   14.35    7.48    0.23   22.06  0.933
   1.552  0.163  6.32    0.00 -100.00    0.00    0.00 -100.00 5.162E+01

   5.014 22.610  1.06    9.28   16.50    9.48    0.34   26.32  0.928
   1.372  0.155  6.66    0.00 -100.00    0.00    0.00 -100.00 4.217E+01

   5.014 26.522  1.07   14.81   21.55   16.43    0.81   38.79  0.929
   1.016  0.143  7.31    0.00 -100.00    0.00    0.00 -100.00 2.595E+01

   5.014 17.770  1.17    3.16    5.35    2.92    0.03    8.29  0.961
   2.450  0.244  4.52    0.00 -100.00    0.00    0.00 -100.00 9.603E+01

   5.014 19.112  1.17    4.02    8.02    3.75    0.05   11.83  0.949
   2.112  0.214  5.16    0.00 -100.00    0.00    0.00 -100.00 7.273E+01

   5.014 20.087  1.17    4.77    9.71    4.51    0.08   14.29  0.942
   1.912  0.200  5.53    0.00 -100.00    0.00    0.00 -100.00 6.084E+01

   5.014 21.145  1.17    5.70   11.42    5.48    0.12   17.02  0.935
   1.728  0.189  5.88    0.00 -100.00    0.00    0.00 -100.00 5.093E+01

   5.014 22.315  1.17    6.87   13.22    6.77    0.17   20.16  0.933
   1.553  0.180  6.21    0.00 -100.00    0.00    0.00 -100.00 4.257E+01

   5.014 23.754  1.17    8.51   15.33    8.61    0.25   24.20  0.927
   1.373  0.171  6.55    0.00 -100.00    0.00    0.00 -100.00 3.488E+01

   5.014 27.852  1.18   13.63   20.39   14.93    0.61   35.93  0.924
   1.019  0.158  7.19    0.00 -100.00    0.00    0.00 -100.00 2.165E+01

   5.014 18.605  1.28    2.93    4.49    2.69    0.02    7.20  0.965
   2.437  0.264  4.44    0.00 -100.00    0.00    0.00 -100.00 7.792E+01

   5.014 19.986  1.28    3.70    7.12    3.43    0.04   10.59  0.953
   2.113  0.234  5.05    0.00 -100.00    0.00    0.00 -100.00 5.959E+01

   5.014 21.017  1.28    4.38    8.75    4.11    0.06   12.92  0.946
   1.913  0.219  5.42    0.00 -100.00    0.00    0.00 -100.00 5.006E+01

   5.014 22.115  1.28    5.23   10.43    5.00    0.09   15.51  0.939
   1.728  0.207  5.77    0.00 -100.00    0.00    0.00 -100.00 4.221E+01

   5.014 23.351  1.28    6.32   12.18    6.18    0.13   18.49  0.934
   1.553  0.196  6.10    0.00 -100.00    0.00    0.00 -100.00 3.537E+01

   5.014 24.851  1.28    7.84   14.24    7.88    0.19   22.32  0.928
   1.373  0.187  6.44    0.00 -100.00    0.00    0.00 -100.00 2.914E+01

   5.014 29.185  1.30   12.70   19.25   13.77    0.46   33.49  0.920
   1.018  0.173  7.08    0.00 -100.00    0.00    0.00 -100.00 1.813E+01

   5.014 19.613  1.40    2.73    3.67    2.50    0.02    6.19  0.970
   2.407  0.286  4.37    0.00 -100.00    0.00    0.00 -100.00 6.088E+01

   5.014 20.935  1.40    3.38    6.18    3.11    0.03    9.32  0.957
   2.114  0.257  4.92    0.00 -100.00    0.00    0.00 -100.00 4.800E+01

   5.014 22.020  1.40    4.00    7.76    3.73    0.04   11.54  0.950
   1.913  0.241  5.30    0.00 -100.00    0.00    0.00 -100.00 4.058E+01

   5.014 23.177  1.40    4.79    9.38    4.54    0.06   13.99  0.943
   1.729  0.227  5.65    0.00 -100.00    0.00    0.00 -100.00 3.440E+01

   5.014 24.469  1.40    5.79   11.10    5.61    0.09   16.80  0.936
   1.554  0.216  5.97    0.00 -100.00    0.00    0.00 -100.00 2.900E+01

   5.014 26.060  1.40    7.20   13.10    7.18    0.14   20.42  0.930
   1.373  0.205  6.31    0.00 -100.00    0.00    0.00 -100.00 2.396E+01

   5.014 30.468  1.42   11.63   17.89   12.47    0.34   30.70  0.918
   1.026  0.190  6.94    0.00 -100.00    0.00    0.00 -100.00 1.524E+01

   5.014 20.709  1.54    2.57    3.01    2.34    0.01    5.37  0.973
   2.373  0.310  4.30    0.00 -100.00    0.00    0.00 -100.00 4.646E+01

   5.014 21.968  1.54    3.09    5.21    2.83    0.02    8.05  0.962
   2.114  0.283  4.78    0.00 -100.00    0.00    0.00 -100.00 3.795E+01

   5.014 23.102  1.54    3.65    6.75    3.38    0.03   10.16  0.953
   1.914  0.265  5.16    0.00 -100.00    0.00    0.00 -100.00 3.234E+01

   5.014 24.327  1.54    4.37    8.32    4.11    0.05   12.48  0.947
   1.729  0.250  5.51    0.00 -100.00    0.00    0.00 -100.00 2.757E+01

   5.014 25.690  1.54    5.29    9.98    5.08    0.07   15.13  0.940
   1.553  0.237  5.83    0.00 -100.00    0.00    0.00 -100.00 2.338E+01

   5.014 27.351  1.54    6.59   11.93    6.51    0.10   18.54  0.931
   1.373  0.225  6.17    0.00 -100.00    0.00    0.00 -100.00 1.946E+01

   5.014 32.025  1.56   10.72   16.56   11.43    0.25   28.24  0.920
   1.025  0.209  6.80    0.00 -100.00    0.00    0.00 -100.00 1.243E+01

   5.014 21.833  1.68    2.44    2.50    2.22    0.01    4.73  0.976
   2.335  0.334  4.23    0.00 -100.00    0.00    0.00 -100.00 3.537E+01

   5.014 22.994  1.68    2.83    4.19    2.58    0.01    6.79  0.967
   2.114  0.309  4.64    0.00 -100.00    0.00    0.00 -100.00 3.010E+01

   5.014 24.182  1.68    3.36    5.80    3.08    0.02    8.90  0.957
   1.914  0.289  5.01    0.00 -100.00    0.00    0.00 -100.00 2.576E+01

   5.014 25.464  1.68    4.01    7.32    3.74    0.03   11.09  0.951
   1.729  0.273  5.36    0.00 -100.00    0.00    0.00 -100.00 2.214E+01

   5.014 26.889  1.68    4.86    8.92    4.62    0.05   13.60  0.942
   1.553  0.259  5.69    0.00 -100.00    0.00    0.00 -100.00 1.892E+01

   5.014 28.632  1.68    6.06   10.81    5.94    0.08   16.83  0.936
   1.374  0.247  6.03    0.00 -100.00    0.00    0.00 -100.00 1.584E+01

   5.014 33.623  1.71   10.02   15.40   10.59    0.18   26.18  0.920
   1.020  0.228  6.66    0.00 -100.00    0.00    0.00 -100.00 1.015E+01

   5.014 23.356  1.88    2.31    1.80    2.09    0.01    3.90  0.980
   2.282  0.366  4.13    0.00 -100.00    0.00    0.00 -100.00 2.477E+01

   5.014 25.032  1.99    2.46    2.43    2.21    0.01    4.65  0.975
   2.109  0.365  4.34    0.00 -100.00    0.00    0.00 -100.00 1.871E+01

   5.014 26.388  2.00    2.85    3.83    2.57    0.01    6.41  0.967
   1.914  0.344  4.70    0.00 -100.00    0.00    0.00 -100.00 1.618E+01

   5.014 27.743  1.99    3.42    5.44    3.14    0.02    8.60  0.959
   1.729  0.323  5.05    0.00 -100.00    0.00    0.00 -100.00 1.418E+01

   5.014 29.307  1.99    4.13    6.94    3.87    0.03   10.83  0.950
   1.554  0.307  5.38    0.00 -100.00    0.00    0.00 -100.00 1.228E+01

   5.014 31.297  2.00    5.15    8.63    4.95    0.04   13.62  0.942
   1.374  0.293  5.71    0.00 -100.00    0.00    0.00 -100.00 1.030E+01

   5.014 36.475  2.03    8.49   12.83    8.81    0.10   21.73  0.924
   1.032  0.271  6.33    0.00 -100.00    0.00    0.00 -100.00 6.922E+00

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014 27.731  2.36    2.23    0.97    1.99    0.00    2.96  0.980
   2.053  0.425  4.07    0.00 -100.00    0.00    0.00 -100.00 1.036E+01

   5.014 29.652  2.50    2.41    1.55    2.14    0.01    3.69  0.976
   1.900  0.427  4.23    0.00 -100.00    0.00    0.00 -100.00 7.902E+00

   5.014 31.587  2.57    2.74    2.51    2.45    0.01    4.96  0.968
   1.728  0.416  4.48    0.00 -100.00    0.00    0.00 -100.00 6.497E+00

   5.014 33.332  2.56    3.27    3.80    2.98    0.01    6.79  0.963
   1.554  0.395  4.81    0.00 -100.00    0.00    0.00 -100.00 5.881E+00

   5.014 35.481  2.56    4.11    5.62    3.85    0.02    9.48  0.957
   1.374  0.375  5.15    0.00 -100.00    0.00    0.00 -100.00 5.129E+00

   5.014 41.510  2.60    6.84    9.31    6.94    0.04   16.29  0.936
   1.032  0.348  5.75    0.00 -100.00    0.00    0.00 -100.00 3.547E+00

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014  0.000  0.00    0.00    0.00    0.00    0.00    0.00  1.000
   0.000  0.000 10.29    0.00    0.00    0.00    0.00    0.00       NaN

   5.014 34.494  3.00    2.50    0.77    2.20    0.00    2.97  0.970
   1.699  0.481  4.11    0.00 -100.00    0.00    0.00 -100.00 3.652E+00

   5.014 36.889  3.11    2.83    1.61    2.52    0.00    4.14  0.968
   1.548  0.478  4.28    0.00 -100.00    0.00    0.00 -100.00 2.921E+00

   5.014 40.115  3.23    3.40    2.71    3.10    0.01    5.82  0.964
   1.371  0.473  4.48    0.00 -100.00    0.00    0.00 -100.00 2.253E+00

   5.014 45.014  3.24    5.00    5.19    4.86    0.01   10.06  0.953
   1.102  0.441  4.98    0.00 -100.00    0.00    0.00 -100.00 1.857E+00

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

